	B_floridae_protein	C_milii_protein	D_rerio_protein	G_gallus_protein	H_sapiens_protein	M_mulatta_protein	M_musculus_protein	P_troglogytes_protein
Number of genes	28623	28237	52829	49673	113275	67976	85308	80807
Number of genes in orthogroups	24502	26774	50635	48362	108689	66304	83047	78601
Number of unassigned genes	4121	1463	2194	1311	4586	1672	2261	2206
Percentage of genes in orthogroups	85.6	94.8	95.8	97.4	96.0	97.5	97.3	97.3
Percentage of unassigned genes	14.4	5.2	4.2	2.6	4.0	2.5	2.7	2.7
Number of orthogroups containing species	9932	13150	15487	13674	20127	18215	17491	19255
Percentage of orthogroups containing species	33.9	44.9	52.9	46.7	68.8	62.2	59.8	65.8
Number of species-specific orthogroups	1521	530	2553	772	1002	323	1126	452
Number of genes in species-specific orthogroups	10423	2204	14764	5151	3612	1329	7837	1947
Percentage of genes in species-specific orthogroups	36.4	7.8	27.9	10.4	3.2	2.0	9.2	2.4


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	19334	16116	13779	15592	9139	11051	11775	10011
'1	6783	7669	5624	5171	5232	6413	4813	6479
'2	1562	2604	4196	2868	3494	3667	3493	3484
'3	478	1181	2030	1585	2298	2282	2088	2260
'4	271	683	1144	1062	1766	1536	1538	1612
'5	179	375	628	724	1261	1039	1090	1191
'6	108	220	410	531	998	770	874	855
'7	86	113	306	328	763	532	652	635
'8	63	77	236	288	650	394	528	532
'9	46	65	144	199	544	317	363	420
'10	40	38	133	154	439	239	317	309
11-15	115	91	333	442	1304	592	870	846
16-20	67	19	119	145	616	225	392	321
21-50	98	13	152	166	722	201	441	303
51-100	30	1	24	9	39	8	29	8
101-150	4	1	6	1	1	0	3	0
151-200	1	0	1	0	0	0	0	0
201-500	1	0	1	1	0	0	0	0
501-1000	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	66.1	55.1	47.1	53.3	31.2	37.8	40.2	34.2
'1	23.2	26.2	19.2	17.7	17.9	21.9	16.4	22.1
'2	5.3	8.9	14.3	9.8	11.9	12.5	11.9	11.9
'3	1.6	4.0	6.9	5.4	7.9	7.8	7.1	7.7
'4	0.9	2.3	3.9	3.6	6.0	5.2	5.3	5.5
'5	0.6	1.3	2.1	2.5	4.3	3.6	3.7	4.1
'6	0.4	0.8	1.4	1.8	3.4	2.6	3.0	2.9
'7	0.3	0.4	1.0	1.1	2.6	1.8	2.2	2.2
'8	0.2	0.3	0.8	1.0	2.2	1.3	1.8	1.8
'9	0.2	0.2	0.5	0.7	1.9	1.1	1.2	1.4
'10	0.1	0.1	0.5	0.5	1.5	0.8	1.1	1.1
11-15	0.4	0.3	1.1	1.5	4.5	2.0	3.0	2.9
16-20	0.2	0.1	0.4	0.5	2.1	0.8	1.3	1.1
21-50	0.3	0.0	0.5	0.6	2.5	0.7	1.5	1.0
51-100	0.1	0.0	0.1	0.0	0.1	0.0	0.1	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0
'1	6783	7669	5624	5171	5232	6413	4813	6479
'2	3124	5208	8392	5736	6988	7334	6986	6968
'3	1434	3543	6090	4755	6894	6846	6264	6780
'4	1084	2732	4576	4248	7064	6144	6152	6448
'5	895	1875	3140	3620	6305	5195	5450	5955
'6	648	1320	2460	3186	5988	4620	5244	5130
'7	602	791	2142	2296	5341	3724	4564	4445
'8	504	616	1888	2304	5200	3152	4224	4256
'9	414	585	1296	1791	4896	2853	3267	3780
'10	400	380	1330	1540	4390	2390	3170	3090
11-15	1468	1116	4187	5581	16549	7487	10990	10664
16-20	1184	324	2151	2542	10897	3962	6936	5631
21-50	2983	399	4585	4663	20399	5682	12884	8473
51-100	2026	98	1667	595	2443	502	1763	502
