Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	423	341
OG0000001	330	265
OG0000002	279	207
OG0000003	257	199
OG0000004	205	181
OG0000005	209	196
OG0000006	211	169
OG0000007	223	193
OG0000008	282	282
OG0000009	227	187
OG0000010	192	129
OG0000011	275	275
OG0000012	179	143
OG0000013	207	201
OG0000014	167	131
OG0000015	156	113
OG0000016	211	178
OG0000017	204	156
OG0000018	194	140
OG0000019	166	160
OG0000020	174	156
OG0000021	160	142
OG0000022	159	149
OG0000023	220	220
OG0000024	198	172
OG0000025	174	161
OG0000026	151	136
OG0000027	196	186
OG0000028	189	162
OG0000029	165	116
OG0000030	146	136
OG0000031	161	134
OG0000032	200	199
OG0000033	172	150
OG0000034	125	99
OG0000035	169	140
OG0000036	125	101
OG0000037	154	147
OG0000038	152	109
OG0000039	158	133
OG0000040	137	122
OG0000041	153	142
OG0000042	153	136
OG0000043	161	134
OG0000044	136	119
OG0000045	158	145
OG0000046	153	143
OG0000047	157	129
OG0000048	138	121
OG0000049	152	136
OG0000050	114	96
OG0000051	157	150
OG0000052	148	137
OG0000053	152	118
OG0000054	131	121
OG0000055	136	106
OG0000056	141	101
OG0000057	145	128
OG0000058	152	137
OG0000059	151	137
OG0000060	170	170
OG0000061	86	78
OG0000062	134	114
OG0000063	123	111
OG0000064	118	87
OG0000065	129	104
OG0000066	136	130
OG0000067	108	90
OG0000068	136	124
OG0000069	104	73
OG0000070	116	98
OG0000071	126	108
OG0000072	96	48
OG0000073	128	119
OG0000074	112	104
OG0000075	147	120
OG0000076	124	111
OG0000077	129	120
OG0000078	109	103
OG0000079	112	107
OG0000080	135	135
OG0000081	132	123
OG0000082	119	92
OG0000083	121	90
OG0000084	98	93
OG0000085	142	129
OG0000086	102	87
OG0000087	120	80
OG0000088	110	105
OG0000089	108	101
OG0000090	133	130
OG0000091	99	96
OG0000092	118	85
OG0000093	98	85
OG0000094	102	99
OG0000095	97	82
OG0000096	116	113
OG0000097	118	104
OG0000098	116	101
OG0000099	131	117
OG0000100	105	99
OG0000101	108	90
OG0000102	113	100
OG0000103	122	105
OG0000104	135	131
OG0000105	113	110
OG0000106	93	81
OG0000107	126	113
OG0000108	116	102
OG0000109	117	93
OG0000110	116	112
OG0000111	108	94
OG0000112	112	84
OG0000113	82	69
OG0000114	79	65
OG0000115	128	118
OG0000116	113	90
OG0000117	115	101
OG0000118	125	120
OG0000119	106	100
OG0000120	104	96
OG0000121	114	112
OG0000122	117	79
OG0000123	103	97
OG0000124	99	88
OG0000125	114	112
OG0000126	120	107
OG0000127	104	88
OG0000128	87	84
OG0000129	118	109
OG0000130	116	95
OG0000131	113	113
OG0000132	101	94
OG0000133	104	95
OG0000134	107	104
OG0000135	114	91
OG0000136	100	83
OG0000137	126	114
OG0000138	119	119
OG0000139	110	93
OG0000140	101	92
OG0000141	102	99
OG0000142	128	127
OG0000143	122	108
OG0000144	101	98
OG0000145	118	106
OG0000146	100	95
OG0000147	81	79
